date,name,unit_price,purpose,amount,sheet,property
2025-06-02 00:00:00,床头灯打样,27.8,床头灯打样,27.8,6月耗材,嘉定公寓
2025-06-02 00:00:00,干花打样,25.4,干花打样,25.4,6月耗材,嘉定公寓
2025-06-02 00:00:00,干花打样,8.4,干花打样,8.4,6月耗材,嘉定公寓
2025-06-04 00:00:00,除甲醛,149.5,除甲醛,149.5,6月耗材,嘉定公寓
2025-06-06 00:00:00,R403退房加冰箱,328,R403退房以前没有加冰箱,328,6月耗材,嘉定公寓
2025-06-07 00:00:00,发泡胶+钉子,175,发泡胶+钉子,175,6月耗材,嘉定公寓
2025-06-07 00:00:00,彩钢瓦,698,彩钢瓦,698,6月耗材,嘉定公寓
2025-06-07 00:00:00,家具材料,11000,家具材料,11000,6月耗材,嘉定公寓
2025-06-07 00:00:00,门+门锁,10100,门+门锁,10100,6月耗材,嘉定公寓
2025-06-08 00:00:00,格栅,1270,格栅,1270,6月耗材,嘉定公寓
2025-06-08 00:00:00,油烟机,560,油烟机,560,6月耗材,嘉定公寓
2025-06-08 00:00:00,家具材料,2390,家具材料,2390,6月耗材,嘉定公寓
2025-06-09 00:00:00,网费,2158.66,网费,2158.66,6月耗材,嘉定公寓
2025-06-13 00:00:00,木工手工费,15000,木工手工费,15000,6月耗材,嘉定公寓
2025-06-15 00:00:00,台灶水池,1500,台灶水池,1500,6月耗材,嘉定公寓
2025-06-16 00:00:00,热水器11台,4268,热水器11台,4268,6月耗材,嘉定公寓
2025-06-16 00:00:00,油烟机10台,2889.9,油烟机10台,2889.9,6月耗材,嘉定公寓
2025-06-16 00:00:00,替鸿翼监控费,5000,替鸿翼监控费,5000,6月耗材,嘉定公寓
2025-06-17 00:00:00,钛金板,10520,钛金板,10520,6月耗材,嘉定公寓
2025-06-19 00:00:00,工字线,980,工字线,980,6月耗材,嘉定公寓
2025-06-19 00:00:00,发泡胶,540,发泡胶,540,6月耗材,嘉定公寓
2025-06-19 00:00:00,结构胶,1600,结构胶,1600,6月耗材,嘉定公寓
2025-06-19 00:00:00,钛金板运费,962,钛金板运费,962,6月耗材,嘉定公寓
2025-06-19 00:00:00,热水器 马桶软管,360,热水器 马桶软管,360,6月耗材,嘉定公寓
2025-06-20 00:00:00,卫生间洗漱台,272,卫生间洗漱台,272,6月耗材,嘉定公寓
2025-06-22 00:00:00,水池物流费,110,水池物流费,110,6月耗材,嘉定公寓
2025-06-22 00:00:00,三角阀 枪钉 胶带,1192,三角阀 枪钉 胶带,1191,6月耗材,嘉定公寓
2025-06-23 00:00:00,门牌号,121.22,门牌号,121.22,6月耗材,嘉定公寓
2025-06-23 00:00:00,卫生间洗漱台9套,2430,卫生间洗漱台9套,2430,6月耗材,嘉定公寓
2025-06-24 00:00:00,花洒11,1960,花洒11,1960,6月耗材,嘉定公寓
2025-06-25 00:00:00,油烟机抱箍,30,油烟机抱箍,30,6月耗材,嘉定公寓
2025-06-25 00:00:00,垃圾费,800,垃圾费,800,6月耗材,嘉定公寓
2025-06-26 00:00:00,工字线+线条,925,工字线+线条,925,6月耗材,嘉定公寓
2025-06-26 00:00:00,胶水,586,胶水,586,6月耗材,嘉定公寓
2025-06-26 00:00:00,水电工费,10000,水电工费,10000,6月耗材,嘉定公寓
2025-06-27 00:00:00,桌子10,2100.6,桌子10,2100.6,6月耗材,嘉定公寓
2025-06-28 00:00:00,家具材料,20000,家具材料,20000,6月耗材,嘉定公寓
2025-06-29 00:00:00,除污剂,29.9,除污剂,29.9,6月耗材,嘉定公寓
2025-06-29 00:00:00,门卫室安装费,5000,门卫室安装费,5000,6月耗材,嘉定公寓
2025-06-29 00:00:00,床+床垫+床头柜,13308,床+床垫+床头柜,13308,6月耗材,嘉定公寓
2025-06-29 00:00:00,大理石,5000,大理石,5000,6月耗材,嘉定公寓
2025-05-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,5月耗材,嘉定公寓
2025-05-01 00:00:00,工资,2000,水电工工资,2000,5月耗材,嘉定公寓
2025-05-02 00:00:00,发泡剂 枪钉,220,发泡剂 枪钉,220,5月耗材,嘉定公寓
2025-05-02 00:00:00,工字线,840,工字线,840,5月耗材,嘉定公寓
2025-05-02 00:00:00,结构胶,460,结构胶,460,5月耗材,嘉定公寓
2025-05-02 00:00:00,水池快递费,72,水池快递费,72,5月耗材,嘉定公寓
2025-05-06 00:00:00,卫生间一体洗手池台,2633.4,卫生间一体洗手池台（10台）,2633.4,5月耗材,嘉定公寓
2025-05-06 00:00:00,门牌号,120,门牌号10个,120,5月耗材,嘉定公寓
2025-05-06 00:00:00,岩石板桌子,295.02,2张,295.02,5月耗材,嘉定公寓
2025-05-06 00:00:00,岩石板桌子,1481.04,8张,1481.04,5月耗材,嘉定公寓
2025-05-07 00:00:00,床 床垫 床头柜,9200,床 床垫 各10床头柜12,9200,5月耗材,嘉定公寓
2025-05-07 00:00:00,家具费,5000,家具费,5000,5月耗材,嘉定公寓
2025-05-07 00:00:00,门套,260,门套,260,5月耗材,嘉定公寓
2025-05-07 00:00:00,抱箍,50,抱箍,50,5月耗材,嘉定公寓
2025-05-07 00:00:00,油烟机钉子,50,油烟机钉子,50,5月耗材,嘉定公寓
2025-05-07 00:00:00,开孔器,60,开孔器,60,5月耗材,嘉定公寓
2025-05-07 00:00:00,踢脚线,900,踢脚线,900,5月耗材,嘉定公寓
2025-05-07 00:00:00,混水阀 花洒,1750,混水阀 花洒,1750,5月耗材,嘉定公寓
2025-05-07 00:00:00,线条,354,线条,354,5月耗材,嘉定公寓
2025-05-07 00:00:00,网费,1140,网费,1140,5月耗材,嘉定公寓
